Name,Address,City,Province,Postal Code,Latitude,Longitude,Rating,Types
OutName,5111 Northland Dr NW,Calgary,Alberta,T2L 2J8,99.99,77.77,5.0,"a, b, c, d"
OutName,1916 27 Ave NE,Calgary,Alberta,T2E 7A5,99.99,77.77,5.0,"a, b, c, d"
OutName,4851 50th St,Camrose,Alberta,T4V 1P6,99.99,77.77,5.0,"a, b, c, d"
OutName,10340-82 Ave,Edmonton,Alberta,T6E 1Z8,99.99,77.77,5.0,"a, b, c, d"
OutName,11801-100th St,Grande Prairie,Alberta,T8V 3Y2,99.99,77.77,5.0,"a, b, c, d"
OutName,Metrotower II - #2600 4720 Kingsway,Burnaby,British Columbia,,99.99,77.77,5.0,"a, b, c, d"
OutName,7350 Inverness St,Vancouver,British Columbia,V5X 4H1,99.99,77.77,5.0,"a, b, c, d"
OutName,1755 Robson street,Vancouver,British Columbia,V6G 3B7,99.99,77.77,5.0,"a, b, c, d"
OutName,400 King Street,Fredericton,New Brunswick,E3B 4E1,99.99,77.77,5.0,"a, b, c, d"
OutName,233 Locke Street South,Hamilton,Ontario,L8P 4B8,99.99,77.77,5.0,"a, b, c, d"
OutName,293 Division Street,Kingston,Ontario,,99.99,77.77,5.0,"a, b, c, d"
OutName,98 Kent Street West,Lindsay,Ontario,K9V 2Y4,99.99,77.77,5.0,"a, b, c, d"
OutName,257 Lakeshore Rd. E.,Mississauga,Ontario,L5G 1G8,99.99,77.77,5.0,"a, b, c, d"
OutName,5225 Orbitor Dr.,Mississauga,Ontario,L4W 4Y8,99.99,77.77,5.0,"a, b, c, d"
OutName,1500 Fisher St,North Bay,Ontario,P1B 2H3,99.99,77.77,5.0,"a, b, c, d"
OutName,1050 Baxter Road,Ottawa,Ontario,K2C 3P1,99.99,77.77,5.0,"a, b, c, d"
OutName,60 Walton Street,Port Hope,Ontario,L1A 1N1,99.99,77.77,5.0,"a, b, c, d"
OutName,437 Queen Street West,Toronto,Ontario,M5V 2A5,99.99,77.77,5.0,"a, b, c, d"
OutName,97 Rue St-Jean,Longueuil,Quebec,J4G 2W8,99.99,77.77,5.0,"a, b, c, d"
OutName,3670 Boul. St-Laurent,Montreal,Quebec,H2X 2V4,99.99,77.77,5.0,"a, b, c, d"
OutName,1861 Ste-Catherine West,Montreal,Quebec,H3X 1M2,99.99,77.77,5.0,"a, b, c, d"
OutName,4175 jean Talon Ouest,Montreal,Quebec,H4P 1W6,99.99,77.77,5.0,"a, b, c, d"
OutName,6897 Cote St Luc Road,Montreal,Quebec,H4V 2Y4,99.99,77.77,5.0,"a, b, c, d"
OutName,2445- 7th Avenue,Regina,Saskatchewan,S4R 5E6,99.99,77.77,5.0,"a, b, c, d"
OutName,1019 17th Avenue SW,Calgary,Alberta,T2T 0A7,99.99,77.77,5.0,"a, b, c, d"
OutName,5340 1st Street SW,Calgary,Alberta,T2H 0C8,99.99,77.77,5.0,"a, b, c, d"
OutName,#160 - 30 Springborough Blvd. SW,Calgary,Alberta,T3H 0N9,99.99,77.77,5.0,"a, b, c, d"
OutName,#205 - 400 5th Ave. SW,Calgary,Alberta,T2P 0L6,99.99,77.77,5.0,"a, b, c, d"
OutName,602 17th Avenue,SW Calgary,Alberta,T2S 0B4,99.99,77.77,5.0,"a, b, c, d"
OutName,Unit 100-3715 47th Ave,Sylvan Lake,Alberta,T4S 048,99.99,77.77,5.0,"a, b, c, d"
OutName,101-7315 Edmonds St.,Burnaby,British Columbia,V3N 1A7,99.99,77.77,5.0,"a, b, c, d"
OutName,4250 Kingsway,Burnaby,British Columbia,V5H 2T7,99.99,77.77,5.0,"a, b, c, d"
OutName,#1 - 45560 Market Way,Chilliwack,British Columbia,V2R 0M5,99.99,77.77,5.0,"a, b, c, d"
OutName,1316-2929 Barnet Hwy.,Coquitlam,British Columbia,V3B 5R5,99.99,77.77,5.0,"a, b, c, d"
OutName,#108 -20690 Lougheed Hwy.,Maple Ridge,British Columbia,V2X 2P8,99.99,77.77,5.0,"a, b, c, d"
OutName,715 Columbia St.,New Westminster,British Columbia,V3M 1B2,99.99,77.77,5.0,"a, b, c, d"
OutName,93 Lonsdale Ave,North Vancouver,British Columbia,V7M 1B1,99.99,77.77,5.0,"a, b, c, d"
OutName,3050 Mountain Hwy,North Vancouver,British Columbia,V7J 2P1,99.99,77.77,5.0,"a, b, c, d"
OutName,#31A-2755 Lougheed Hwy,Port Coquitlam,British Columbia,V3B 5Y9,99.99,77.77,5.0,"a, b, c, d"
OutName,2627 Shaughnessy St.,Port Coquitlam,British Columbia,V3C 0E1,99.99,77.77,5.0,"a, b, c, d"
OutName,#180-5951 No 3 Road,Richmond,British Columbia,,99.99,77.77,5.0,"a, b, c, d"
OutName,#120-12231 First Avenue,Richmond,British Columbia,V7E 3M3,99.99,77.77,5.0,"a, b, c, d"
OutName,105 - 10777 University Dr,Surrey,British Columbia,V3T 0E6,99.99,77.77,5.0,"a, b, c, d"
OutName,1095 W. Broadway,Vancouver,British Columbia,V6H 1E2,99.99,77.77,5.0,"a, b, c, d"
OutName,1198 W. Pender St.,Vancouver,British Columbia,V6E 2R9,99.99,77.77,5.0,"a, b, c, d"
OutName,1858 Commercial Drive,Vancouver,British Columbia,V5N 4A6,99.99,77.77,5.0,"a, b, c, d"
OutName,590 Beatty St.,Vancouver,British Columbia,V6B 2L3,99.99,77.77,5.0,"a, b, c, d"
OutName,492 W. Hastings,Vancouver,British Columbia,V6B 1L1,99.99,77.77,5.0,"a, b, c, d"
OutName,100-900 Howe St.,Vancouver,British Columbia,V6Z 2M4,99.99,77.77,5.0,"a, b, c, d"
OutName,2588 Main St.,Vancouver,British Columbia,V5T 3E4,99.99,77.77,5.0,"a, b, c, d"
OutName,"305 Main St., Vancouver",Vancouver,British Columbia,V6A 2S9,99.99,77.77,5.0,"a, b, c, d"
OutName,495 Main St.,Vancouver,British Columbia,V6A 2T7,99.99,77.77,5.0,"a, b, c, d"
OutName,211 Robson Street,Vancouver,British Columbia,,99.99,77.77,5.0,"a, b, c, d"
OutName,510 8th Avenue SW,Calgary,Alberta,T2P 4H9,99.99,77.77,5.0,"a, b, c, d"
OutName,10180-101st Street NW,Edmonton,Alberta,T5J 3S4,99.99,77.77,5.0,"a, b, c, d"
OutName,737 Dunsmuir Street,Vancouver,British Columbia,V7Y 1E4,99.99,77.77,5.0,"a, b, c, d"
OutName,393 Portage Avenue,Winnipeg,Manitoba,R3B 3H6,99.99,77.77,5.0,"a, b, c, d"
OutName,240 Sparks Street,Ottawa,Ontario,K1P 6C9,99.99,77.77,5.0,"a, b, c, d"
OutName,50 Bloor Street West,Toronto,Ontario,M4W 1A1,99.99,77.77,5.0,"a, b, c, d"
OutName,25 The West Mall,Toronto,Ontario,M9C 1B8,99.99,77.77,5.0,"a, b, c, d"
OutName,3401 Dufferin Street,Toronto,Ontario,M6A 2T9,99.99,77.77,5.0,"a, b, c, d"
OutName,Vaughan Mills Shopping Centre,Vaughan,Ontario,L4K 5W4,99.99,77.77,5.0,"a, b, c, d"
OutName,1300 Sherbrooke Street West,Montreal,Quebec,H3G 1H9,99.99,77.77,5.0,"a, b, c, d"
OutName,2452 Laurier Boulevard,Quebec City,Quebec,G1V 2L1,99.99,77.77,5.0,"a, b, c, d"
OutName,125 Banff Avenue,Banff,Alberta,T0L 0C0,99.99,77.77,5.0,"a, b, c, d"
OutName,200-8th Avenue South West,Calgary,Alberta,T2P 1B5,99.99,77.77,5.0,"a, b, c, d"
OutName,3625 Shaganappi Trail North West,Calgary,Alberta,T3A 0E2,99.99,77.77,5.0,"a, b, c, d"
OutName,100 Anderson Road South East,Calgary,Alberta,T2J 3V1,99.99,77.77,5.0,"a, b, c, d"
OutName,6455 Macleod Trail S.W.,Calgary,Alberta,T2H 0L1,99.99,77.77,5.0,"a, b, c, d"
OutName,2525 36th Street North East,Calgary,Alberta,T1Y 5T4,99.99,77.77,5.0,"a, b, c, d"
OutName,109th Street &amp; Princess Elizabeth Avenue,Edmonton,Alberta,T5G 3A6,99.99,77.77,5.0,"a, b, c, d"
OutName,137th Avenue &amp; 66th Street,Edmonton,Alberta,T5C 3C8,99.99,77.77,5.0,"a, b, c, d"
OutName,5015-111th Street NW,Edmonton,Alberta,T6H 4M7,99.99,77.77,5.0,"a, b, c, d"
OutName,10250 - 102 Avenue N.W.,Edmonton,Alberta,T5J 0V1,99.99,77.77,5.0,"a, b, c, d"
OutName,8882 - 170th Street North West (at 87th Avenue),Edmonton,Alberta,T5T 3J7,99.99,77.77,5.0,"a, b, c, d"
OutName,200 4th Avenue South,Lethbridge,Alberta,T1J 4C9,99.99,77.77,5.0,"a, b, c, d"
OutName,3292 Dunmore Road South East,Medicine Hat,Alberta,T1B 2R4,99.99,77.77,5.0,"a, b, c, d"
OutName,4900 Molly Bannister Drive,Red Deer,Alberta,T4R 1N9,99.99,77.77,5.0,"a, b, c, d"
OutName,330 St. Albert Road,St. Albert,Alberta,T8N 3K8,99.99,77.77,5.0,"a, b, c, d"
OutName,32900 South Fraser Way,Abbotsford (Clearbrook),British Columbia,V2S 5A1,99.99,77.77,5.0,"a, b, c, d"
OutName,9855 Austin Road,Burnaby,British Columbia,V3J 1N4,99.99,77.77,5.0,"a, b, c, d"
OutName,4850 Kingsway,Burnaby,British Columbia,V5H 4P2,99.99,77.77,5.0,"a, b, c, d"
OutName,100-2929 Barnet Highway,Coquitlam,British Columbia,V3B 5R9,99.99,77.77,5.0,"a, b, c, d"
OutName,300-1320 Trans-Canada Highway West,Kamloops,British Columbia,V1S 1J1,99.99,77.77,5.0,"a, b, c, d"
OutName,2271 Harvey Avenue,Kelowna,British Columbia,V1Y 6H3,99.99,77.77,5.0,"a, b, c, d"
OutName,19705 Fraser Highway,Langley,British Columbia,V3A 7E9,99.99,77.77,5.0,"a, b, c, d"
OutName,6631 Island Highway North,Nanaimo,British Columbia,V9T 4T7,99.99,77.77,5.0,"a, b, c, d"
OutName,2111 Main Street,Penticton,British Columbia,V2A 6V1,99.99,77.77,5.0,"a, b, c, d"
OutName,140-1600 15th Avenue,Prince George,British Columbia,V2L 3X3,99.99,77.77,5.0,"a, b, c, d"
OutName,6060 Minoru Boulevard,Richmond,British Columbia,V6Y 1Y2,99.99,77.77,5.0,"a, b, c, d"
OutName,1400 Guildford Town Centre,Surrey,British Columbia,V3W 7B7,99.99,77.77,5.0,"a, b, c, d"
OutName,650 41st Avenue West,Vancouver,British Columbia,V5Z 2M9,99.99,77.77,5.0,"a, b, c, d"
OutName,674 Granville Street,Vancouver,British Columbia,V6C 1Z6,99.99,77.77,5.0,"a, b, c, d"
OutName,"4900, 27th Street",Vernon,British Columbia,V1T 2C7,99.99,77.77,5.0,"a, b, c, d"
OutName,1150 DOUGLAS STREET,Victoria,British Columbia,V8W 2C8,99.99,77.77,5.0,"a, b, c, d"
OutName,221-3125 Douglas Street,Victoria,British Columbia,V8Z 3K3,99.99,77.77,5.0,"a, b, c, d"
OutName,725 Park Royal North,West Vancouver,British Columbia,V7T 1H9,99.99,77.77,5.0,"a, b, c, d"
OutName,1485 Portage Avenue,Winnipeg,Manitoba,R3G 0W4,99.99,77.77,5.0,"a, b, c, d"
OutName,1225 St. Mary's Road,Winnipeg,Manitoba,R2M 5E5,99.99,77.77,5.0,"a, b, c, d"
OutName,450 Portage Avenue (at Memorial Boulevard),Winnipeg,Manitoba,R3C 0E7,99.99,77.77,5.0,"a, b, c, d"
OutName,1100 Main Street,Moncton,New Brunswick,E1C 1H4,99.99,77.77,5.0,"a, b, c, d"
OutName,21 Micmac Boulevard,Dartmouth,Nova Scotia,B3A 4K7,99.99,77.77,5.0,"a, b, c, d"
OutName,800 Grand Lake Road,Sydney,Nova Scotia,B1P 6S9,99.99,77.77,5.0,"a, b, c, d"
OutName,465 Bayfield St.,Barrie,Ontario,L4M 4Z9,99.99,77.77,5.0,"a, b, c, d"
OutName,25 Peel Centre Drive (at Highway #7 &amp; Dixie Road),Brampton (Bramalea),Ontario,L6T 3R5,99.99,77.77,5.0,"a, b, c, d"
OutName,777 Guelph Line,Burlington,Ontario,L7R 3N2,99.99,77.77,5.0,"a, b, c, d"
OutName,900 Maple Avenue,Burlington,Ontario,L7S 2J8,99.99,77.77,5.0,"a, b, c, d"
OutName,355 Hespeler Road,Cambridge,Ontario,N1R 8J9,99.99,77.77,5.0,"a, b, c, d"
OutName,25 The West Mall,Etobicoke,Ontario,M9C 1B8,99.99,77.77,5.0,"a, b, c, d"
OutName,999 Upper Wentworth Street,Hamilton,Ontario,L9A 4X5,99.99,77.77,5.0,"a, b, c, d"
OutName,945 Gardiner Road,Kingston,Ontario,K7M 7H4,99.99,77.77,5.0,"a, b, c, d"
OutName,3050 Kingsway Drive,Kitchener,Ontario,N2C 2J7,99.99,77.77,5.0,"a, b, c, d"
OutName,1680 Richmond Street,London,Ontario,N6G 3Y9,99.99,77.77,5.0,"a, b, c, d"
OutName,1105 Wellington Road South,London,Ontario,N6A 1V4,99.99,77.77,5.0,"a, b, c, d"
OutName,5000 Highway #7 (at McCowan),Markham,Ontario,L3R 4M9,99.99,77.77,5.0,"a, b, c, d"
OutName,5100 Erin Mills Parkway,Mississauga,Ontario,L5M 4Z5,99.99,77.77,5.0,"a, b, c, d"
OutName,100 City Centre Drive,Mississauga,Ontario,L5B 2C9,99.99,77.77,5.0,"a, b, c, d"
OutName,17600 Yonge Street North,Newmarket,Ontario,L3Y 4Z1,99.99,77.77,5.0,"a, b, c, d"
OutName,3401 Dufferin St. (at Highway # 401),North York,Ontario,M6A 2T9,99.99,77.77,5.0,"a, b, c, d"
OutName,240 Leighland Avenue,Oakville,Ontario,L6H 3H6,99.99,77.77,5.0,"a, b, c, d"
OutName,110 Place d'Orleans Drive,Orleans,Ontario,K1C 2L9,99.99,77.77,5.0,"a, b, c, d"
OutName,419 King Street West,Oshawa,Ontario,L1J 2K5,99.99,77.77,5.0,"a, b, c, d"
OutName,73 Rideau Street,Ottawa,Ontario,K1N 5W8,99.99,77.77,5.0,"a, b, c, d"
OutName,1200 St. Laurent Boulevard,Ottawa,Ontario,K1K 3B8,99.99,77.77,5.0,"a, b, c, d"
OutName,100 Bayshore Drive,Ottawa (Nepean),Ontario,K2B 8C1,99.99,77.77,5.0,"a, b, c, d"
OutName,1355 Kingston Road,Pickering,Ontario,L1V 1B8,99.99,77.77,5.0,"a, b, c, d"
OutName,500 Rexdale Boulevard (at Highway # 27),Rexdale,Ontario,M9W 6K5,99.99,77.77,5.0,"a, b, c, d"
OutName,9350 Yonge Street,Richmond Hill,Ontario,L4C 5G2,99.99,77.77,5.0,"a, b, c, d"
OutName,Victoria Park &amp; O'Connor Drive,Scarborough,Ontario,M1L 2K1,99.99,77.77,5.0,"a, b, c, d"
OutName,300 Borough Drive,Scarborough,Ontario,M1P 4P5,99.99,77.77,5.0,"a, b, c, d"
OutName,221 Glendale Avenue,St. Catharines,Ontario,L2T 2K9,99.99,77.77,5.0,"a, b, c, d"
OutName,176 Yonge Street,Toronto,Ontario,M5C 2L7,99.99,77.77,5.0,"a, b, c, d"
OutName,44 Bloor Street East,Toronto,Ontario,M4W 3H7,99.99,77.77,5.0,"a, b, c, d"
OutName,550 King Street North,Waterloo,Ontario,N2L 5W6,99.99,77.77,5.0,"a, b, c, d"
OutName,6500 Yonge Street,Willowdale,Ontario,M2M 3X4,99.99,77.77,5.0,"a, b, c, d"
OutName,1800 Sheppard Avenue East,Willowdale,Ontario,M2J 5A7,99.99,77.77,5.0,"a, b, c, d"
OutName,3030 Howard Avenue,Windsor,Ontario,N8X 3Y8,99.99,77.77,5.0,"a, b, c, d"
OutName,7895 boulevard Les Galeries d'Anjou,Anjou,Quebec,H1M 1W6,99.99,77.77,5.0,"a, b, c, d"
OutName,2151 boulevard Lapini\xe8re,Brossard,Quebec,J4W 2T5,99.99,77.77,5.0,"a, b, c, d"
OutName,386 avenue Dorval,Dorval,Quebec,H9S 3H7,99.99,77.77,5.0,"a, b, c, d"
OutName,"1100, boulevard Maloney Ouest",Gatineau,Quebec,J8T 6G3,99.99,77.77,5.0,"a, b, c, d"
OutName,3045 boulevard Le Carrefour,Laval,Quebec,H7T 1C7,99.99,77.77,5.0,"a, b, c, d"
OutName,1600 boulevard Le Corbusier,Laval,Quebec,H7S 1Y9,99.99,77.77,5.0,"a, b, c, d"
OutName,4150 rue Jean-Talon Est,Montr\xe9al,Quebec,H1S 2V4,99.99,77.77,5.0,"a, b, c, d"
OutName,585 rue Ste-Catherine Ouest,Montr\xe9al,Quebec,H3B 3Y5,99.99,77.77,5.0,"a, b, c, d"
OutName,6790 route Trans-Canada,Pointe-Claire,Quebec,H9R 1C5,99.99,77.77,5.0,"a, b, c, d"
OutName,5401 boulevard des Galeries,Quebec,Quebec,G2K 1N4,99.99,77.77,5.0,"a, b, c, d"
OutName,550 boulevard Wilfrid-Hamel,Quebec,Quebec,G1M 2S6,99.99,77.77,5.0,"a, b, c, d"
OutName,2740 boulevard Laurier,Quebec,Quebec,G1V 4P7,99.99,77.77,5.0,"a, b, c, d"
OutName,401 boulevard Labelle,Rosemere,Quebec,J7A 3T2,99.99,77.77,5.0,"a, b, c, d"
OutName,3000 boulevard de Portland,Sherbrooke,Quebec,J1L 1R8,99.99,77.77,5.0,"a, b, c, d"
