Store_id,Store_Name,Biz_Name,Address,City,Province,Postal Code,Latitude,Longitude,Rating,Types
25103811,"Cosmetics,-Beauty-Calgary",Red Beauty & Massage Centre,102 8th Ave SW,Calgary,Alberta,T2P 1B5,51.0457801,-114.0634006,,"point_of_interest, establishment"
25055079,"Cosmetics,-Beauty-Calgary",Beauty Boutique by Shoppers Drug Mart,4307 130 Ave SE #74,Calgary,Alberta,T2Z 3V8,50.9304438,-113.9731039,,"store, point_of_interest, establishment"
25052457,"Cosmetics,-Beauty-Edmonton",Beauty Boutique by Shoppers Drug Mart,9134 23 Ave,Edmonton,Alberta,T6N 1H9,53.4527525,-113.4697584,5,"store, point_of_interest, establishment"
1112546420,"Cosmetics,-Beauty-Edmonton",Sally Beauty,6012 82 Avenue Northwest,Edmonton,Alberta,T6B 0E7,53.5182392,-113.4265882,3.4,"store, point_of_interest, establishment"
1112456264,"Cosmetics,-Beauty-Edmonton",LUSH,18927 81a Avenue NW,Edmonton,Alberta,T5T 5C3,53.5141429,-113.6504664,4.5,"store, point_of_interest, establishment"
1112347584,"Cosmetics,-Beauty-Abbotsford",Beauty Boutique by Shoppers Drug Mart,1975 McCallum Rd,Abbotsford,British Columbia,V2S 3N3,49.0382941,-122.2936298,,"store, point_of_interest, establishment"
112411781,"Cosmetics,-Beauty-Port-Moody",MD Cosmetic & Laser Clinic,775 Appleyard Court,Port Moody,British Columbia,V3H 3X1,49.286689,-122.826689,4.6,"beaty_salon, hair_care, spa, store, health, point_of_interest, establishment"
25060354,"Cosmetics,-Beauty-Vancouver",LUSH,955 Hornby St,Vancouver,British Columbia,V6Z 1V3,49.2809675,-123.124656,4.3,"store, point_of_interest, establishment"
24908475,"Cosmetics,-Beauty-Winfield",The Strand Hair Company,10836 Sherman Drive,Winfield,British Columbia,V4V 1W8,50.0401371,-119.3908887,4.9,"beaty_salon, point_of_interest, establishment"
24998320,"Cosmetics,-Beauty-Angus",Radiant Beauty by Dawn,7 Commerce Road,Angus,Ontario,L0M 1B2,44.3295517,-79.8901003,5,"beaty_salon, hair_care, health, point_of_interest, establishment"
25001105,"Cosmetics,-Beauty-Orangeville",Beauty Boutique by Shoppers Drug Mart,65 Broadway,Orangeville,Ontario,L9W 1J4,43.9206407,-80.0923177,3,"store, point_of_interest, establishment"
112347797,"Cosmetics,-Beauty-Sudbury",Beauty Boutique by Shoppers Drug Mart,900 Lasalle Boulevard,Sudbury,Ontario,,46.5229771,-80.9601916,,"store, point_of_interest, establishment"
25103441,"Cosmetics,-Beauty-Toronto",Beauty Boutique by Shoppers Drug Mart,3024 Dundas Street West,Toronto,Ontario,M6P 1Z3,43.6658008,-79.4701907,5,"store, point_of_interest, establishment"
25105028,"Cosmetics,-Beauty-Toronto",Benefit Boutique Toronto,1 Eglinton Ave East,Toronto,Ontario,M4P 3A1,43.7065792,-79.3978503,4.3,"beaty_salon, point_of_interest, establishment"
1112353534,"Cosmetics,-Beauty-Montreal",LUSH,4060 Rue Sainte-Catherine O.,Montreal,Quebec,H3Z 2Z3,45.4876346,-73.5861537,4.5,"store, point_of_interest, establishment"
10785014,Crabtree-&-Evelyn-Calgary,Crabtree & Evelyn,3625 Shaganappi Tr. N. W.,Calgary,Alberta,T3A 0E2,51.084709,-114.154918,5,"clothing_store, store, point_of_interest, establishment"
10785104,Crabtree-&-Evelyn-Edmonton,Crabtree & Evelyn,11100-51st Ave.  Unit 13A,Edmonton,Alberta,T6H 4M6,53.4856255,-113.5140791,4,"clothing_store, store, point_of_interest, establishment"
