Province,StationID,Name,Latitude,Longitude,Postal Code,Year,Month,Day,Time,Temp (°C),Dew Point Temp (°C),Wind Dir (10s deg),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Weather
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,1,0:00,18.7,12.5,,,,100.12,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,1,1:00,18.1,12.3,,,,100.12,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,1,2:00,17.8,12.2,,,,100.11,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,1,3:00,17.9,11.6,,,,100.13,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,1,4:00,17.6,11.8,,,,100.16,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,1,5:00,16.8,12,,,,100.19,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,1,6:00,16.1,12,,,,100.26,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,1,7:00,16.7,12.1,,,,100.29,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,1,8:00,18.3,12.3,,,,100.29,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,1,9:00,19.3,12.5,,,,100.35,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,1,10:00,20,11.5,,,,100.38,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,1,11:00,21.8,11.3,,,,100.37,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,1,12:00,22,11.6,,,,100.35,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,1,13:00,21.8,10.4,,,,100.37,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,1,14:00,22.7,11.1,,,,100.36,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,1,15:00,21.6,10.8,,,,100.38,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,1,16:00,21.8,10.9,,,,100.38,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,1,17:00,21.5,11.1,,,,100.43,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,1,18:00,20.1,12.2,,,,100.46,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,1,19:00,20.1,12.9,,,,100.52,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,1,20:00,19.6,12.2,,,,100.61,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,1,21:00,19,12.2,,,,100.68,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,1,22:00,18.6,11.8,,,,100.72,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,1,23:00,18.2,11.5,,,,100.75,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,2,0:00,18,11.8,,,,100.78,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,2,1:00,17.3,10.8,,,,100.8,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,2,2:00,16.7,10.7,,,,100.81,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,2,3:00,16.1,10.1,,,,100.81,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,2,4:00,15.5,10,,,,100.85,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,2,5:00,15,9.6,,,,100.91,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,2,6:00,14.6,9.6,,,,100.97,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,2,7:00,15,9.7,,,,101.03,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,2,8:00,16.4,9.9,,,,101.06,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,2,9:00,17.6,9.9,,,,101.08,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,2,10:00,19.5,9,,,,101.09,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,2,11:00,21.4,9.1,,,,101.1,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,2,12:00,21.9,8.4,,,,101.09,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,2,13:00,22.4,9.4,,,,101.05,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,2,14:00,22,11.7,,,,101.01,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,2,15:00,23.3,12.2,,,,100.96,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,2,16:00,21.4,12.1,,,,100.95,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,2,17:00,21,12.3,,,,100.92,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,2,18:00,20.8,12.1,,,,100.9,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,2,19:00,19.7,11.9,,,,100.94,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,2,20:00,19.4,10.6,,,,100.99,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,2,21:00,18.3,10.6,,,,101.01,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,2,22:00,17.1,10.5,,,,101.02,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,2,23:00,17,10.6,,,,101.02,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,3,0:00,15.9,10.8,,,,101,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,3,1:00,16.7,10.9,,,,101.05,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,3,2:00,16.3,10.5,,,,101.03,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,3,3:00,15.7,10.2,,,,101.07,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,3,4:00,15.5,9.9,,,,101.07,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,3,5:00,15.5,9.6,,,,101.07,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,3,6:00,15.3,9.1,,,,101.1,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,3,7:00,16.2,8.8,,,,101.13,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,3,8:00,17.8,10,,,,101.17,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,3,9:00,19.2,11.5,,,,101.19,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,3,10:00,20.8,10.8,,,,101.19,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,3,11:00,21.5,11.2,,,,101.17,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,3,12:00,22,10.8,,,,101.13,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,3,13:00,22.5,10.3,,,,101.11,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,3,14:00,22.1,9.6,,,,101.07,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,3,15:00,22.4,10.1,,,,100.98,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,3,16:00,21.5,10.7,,,,100.94,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,3,17:00,21,9.7,,,,100.93,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,3,18:00,20.5,10.4,,,,100.91,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,3,19:00,19.8,10.7,,,,100.94,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,3,20:00,19.4,11.9,,,,100.99,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,3,21:00,18.5,12.2,,,,100.99,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,3,22:00,18.5,12.1,,,,101,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,3,23:00,17.4,12.1,,,,101.02,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,4,0:00,16.8,12,,,,101.02,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,4,1:00,15.7,11.4,,,,101.02,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,4,2:00,16.4,11.8,,,,101,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,4,3:00,15.3,11.5,,,,101,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,4,4:00,15.4,11.1,,,,101.05,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,4,5:00,14.7,10.8,,,,101.07,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,4,6:00,14.5,10.7,,,,101.11,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,4,7:00,16.3,11.4,,,,101.17,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,4,8:00,18.9,12.9,,,,101.2,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,4,9:00,20.5,13.2,,,,101.21,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,4,10:00,22.3,13,,,,101.23,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,4,11:00,22.2,13.5,,,,101.22,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,4,12:00,23.1,14.3,,,,101.22,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,4,13:00,22.8,13,,,,101.16,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,4,14:00,22.7,12.7,,,,101.1,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,4,15:00,23.5,12.6,,,,101.08,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,4,16:00,22.5,10.2,,,,101.04,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,4,17:00,22.9,10.2,,,,101.02,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,4,18:00,21.9,12.2,,,,101.03,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,4,19:00,21.2,13.3,,,,101.02,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,4,20:00,20.5,13.9,,,,101.03,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,4,21:00,19.3,14.4,,,,101.07,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,4,22:00,18.8,14.5,,,,101.07,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,4,23:00,18.8,15.3,,,,101.05,NA
ON,31688,TORONTO CITY,43.67,-79.4,X9X X9X,2016,9,5,0:00,18.5,14.9,,,,101.02,NA
