Province,StationID,Name,Latitude,Longitude,Postal Code,Date/Time,Year,Month,Day,Time,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/1/2017 3:00,2017,1,1,3:00,-5.7,,-8.2,,82,,28,,9,,,,95.92,,,,-10,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/1/2017 4:00,2017,1,1,4:00,-7.8,,-10.1,,83,,26,,7,,,,96.09,,,,-11,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/1/2017 5:00,2017,1,1,5:00,-9.5,,-11.6,,84,,27,,7,,,,96.24,,,,-13,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/1/2017 6:00,2017,1,1,6:00,-10.6,,-12.4,,86,,27,,5,,,,96.39,,,,-14,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/1/2017 7:00,2017,1,1,7:00,-10.5,,-12.2,,88,,26,,6,,,,96.55,,,,-14,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/1/2017 8:00,2017,1,1,8:00,-10.9,,-12.5,,88,,11,,2,,,,96.64,,,,-12,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/1/2017 9:00,2017,1,1,9:00,-9.4,,-11.1,,88,,24,,2,,,,96.76,,,,-11,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/1/2017 10:00,2017,1,1,10:00,-7.7,,-10.3,,81,,20,,1,,,,96.86,,,,-8,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/1/2017 11:00,2017,1,1,11:00,-6.3,,-9.2,,80,,23,,3,,,,96.97,,,,-8,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/1/2017 12:00,2017,1,1,12:00,-5.1,,-7.7,,81,,19,,2,,,,96.98,,,,-6,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/1/2017 13:00,2017,1,1,13:00,-4.4,,-7.1,,82,,23,,4,,,,97,,,,-6,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/1/2017 14:00,2017,1,1,14:00,-3.1,,-5.8,,81,,22,,4,,,,96.99,,,,-5,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/1/2017 15:00,2017,1,1,15:00,-1.9,,-4.2,,84,,22,,2,,,,97.06,,,,-3,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/1/2017 16:00,2017,1,1,16:00,-1.6,,-4.2,,83,,24,,4,,,,97.16,,,,-3,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/1/2017 17:00,2017,1,1,17:00,-2.9,,-5.5,,83,,21,,2,,,,97.25,,,,-4,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/1/2017 18:00,2017,1,1,18:00,-4.8,,-6.6,,87,,0,,1,,,,97.32,,,,-5,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/1/2017 19:00,2017,1,1,19:00,-7.3,,-8.5,,91,,,,0,,,,97.43,,,,,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/1/2017 20:00,2017,1,1,20:00,-9.3,,-10.4,,92,,,,0,,,,97.53,,,,,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/1/2017 21:00,2017,1,1,21:00,-7.4,,-8.4,,93,,,,0,,,,97.59,,,,,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/1/2017 22:00,2017,1,1,22:00,-6.5,,-7.5,,92,,,,0,,,,97.66,,,,,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/1/2017 23:00,2017,1,1,23:00,-5.6,,-6.7,,92,,,,0,,,,97.67,,,,,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/2/2017 0:00,2017,1,2,0:00,-5.4,,-6.5,,92,,,,0,,,,97.74,,,,,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/2/2017 1:00,2017,1,2,1:00,-5.3,,-6.3,,92,,0,,1,,,,97.74,,,,-6,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/2/2017 2:00,2017,1,2,2:00,-5.2,,-6.2,,93,,0,,1,,,,97.87,,,,-6,,NA
